ID,biosample_id,titration,pcr_16S_plate,pos,barcode_lab,kit_version,For_Index_ID,Rev_Index_ID,seq_lab,t_fctr
B1_M8_P2_L2_S1,E01JH0004,15,1,H7,NIST,B,S511,N723,JHU,15
B1_M9_P2_L2_S1,E01JH0004,20,1,F12,NIST,B,S508,N729,JHU,0
B2_M1_P1_L2_S1,E01JH0011,0,1,A2,NIST,B,S502,N718,JHU,20
B2_M2_P1_L2_S1,E01JH0011,1,1,B2,NIST,B,S503,N718,JHU,1
B2_M3_P1_L2_S1,E01JH0011,2,1,C2,NIST,B,S505,N718,JHU,2
B2_M4_P1_L2_S1,E01JH0011,3,1,D2,NIST,B,S506,N718,JHU,3
B2_M5_P1_L2_S1,E01JH0011,4,1,E2,NIST,B,S507,N718,JHU,4
B2_M6_P1_L2_S1,E01JH0011,5,1,F2,NIST,B,S508,N718,JHU,5
B2_M7_P1_L2_S1,E01JH0011,10,1,G2,NIST,B,S510,N718,JHU,10
B2_M8_P1_L2_S1,E01JH0011,15,1,H2,NIST,B,S511,N718,JHU,15
B2_M9_P1_L2_S1,E01JH0011,20,1,B6,NIST,B,S503,N722,JHU,0
B2_M1_P2_L2_S1,E01JH0011,0,1,A8,NIST,B,S502,N724,JHU,20
B2_M2_P2_L2_S1,E01JH0011,1,1,B8,NIST,B,S503,N724,JHU,1
B2_M3_P2_L2_S1,E01JH0011,2,1,C8,NIST,B,S505,N724,JHU,2
B2_M4_P2_L2_S1,E01JH0011,3,1,D8,NIST,B,S506,N724,JHU,3
B2_M5_P2_L2_S1,E01JH0011,4,1,E8,NIST,B,S507,N724,JHU,4
B2_M6_P2_L2_S1,E01JH0011,5,1,F8,NIST,B,S508,N724,JHU,5
B2_M7_P2_L2_S1,E01JH0011,10,1,G8,NIST,B,S510,N724,JHU,10
B2_M8_P2_L2_S1,E01JH0011,15,1,H8,NIST,B,S511,N724,JHU,15
B2_M9_P2_L2_S1,E01JH0011,20,1,B12,NIST,B,S503,N729,JHU,0
B3_M1_P1_L2_S1,E01JH0016,0,1,A3,NIST,B,S502,N719,JHU,20
B3_M2_P1_L2_S1,E01JH0016,1,1,B3,NIST,B,S503,N719,JHU,1
